TimeStamp	FrameNumber	T10.PosX	T10.PosY	T10.PosZ	SACR.PosX	SACR.PosY	SACR.PosZ	NAVE.PosX	NAVE.PosY	NAVE.PosZ	XYPH.PosX	XYPH.PosY	XYPH.PosZ	STRN.PosX	STRN.PosY	STRN.PosZ	LASIS.PosX	LASIS.PosY	LASIS.PosZ	RASIS.PosX	RASIS.PosY	RASIS.PosZ	LPSIS.PosX	LPSIS.PosY	LPSIS.PosZ	RPSIS.PosX	RPSIS.PosY	RPSIS.PosZ	LGTRO.PosX	LGTRO.PosY	LGTRO.PosZ	FLTHI.PosX	FLTHI.PosY	FLTHI.PosZ	LLEK.PosX	LLEK.PosY	LLEK.PosZ	LATI.PosX	LATI.PosY	LATI.PosZ	LLM.PosX	LLM.PosY	LLM.PosZ	LHEE.PosX	LHEE.PosY	LHEE.PosZ	LTOE.PosX	LTOE.PosY	LTOE.PosZ	LMT5.PosX	LMT5.PosY	LMT5.PosZ	RGTRO.PosX	RGTRO.PosY	RGTRO.PosZ	FRTHI.PosX	FRTHI.PosY	FRTHI.PosZ	RLEK.PosX	RLEK.PosY	RLEK.PosZ	RATI.PosX	RATI.PosY	RATI.PosZ	RLM.PosX	RLM.PosY	RLM.PosZ	RHEE.PosX	RHEE.PosY	RHEE.PosZ	RTOE.PosX	RTOE.PosY	RTOE.PosZ	RMT5.PosX	RMT5.PosY	RMT5.PosZ	pelvis.PosX	pelvis.PosY	pelvis.PosZ	pelvis.RotX	pelvis.RotY	pelvis.RotZ	thorax.PosX	thorax.PosY	thorax.PosZ	thorax.RotX	thorax.RotY	thorax.RotZ	spine.PosX	spine.PosY	spine.PosZ	spine.RotX	spine.RotY	spine.RotZ	pelvislegs.PosX	pelvislegs.PosY	pelvislegs.PosZ	pelvislegs.RotX	pelvislegs.RotY	pelvislegs.RotZ	lfemur.PosX	lfemur.PosY	lfemur.PosZ	lfemur.RotX	lfemur.RotY	lfemur.RotZ	ltibia.PosX	ltibia.PosY	ltibia.PosZ	ltibia.RotX	ltibia.RotY	ltibia.RotZ	lfoot.PosX	lfoot.PosY	lfoot.PosZ	lfoot.RotX	lfoot.RotY	lfoot.RotZ	ltoes.PosX	ltoes.PosY	ltoes.PosZ	ltoes.RotX	ltoes.RotY	ltoes.RotZ	rfemur.PosX	rfemur.PosY	rfemur.PosZ	rfemur.RotX	rfemur.RotY	rfemur.RotZ	rtibia.PosX	rtibia.PosY	rtibia.PosZ	rtibia.RotX	rtibia.RotY	rtibia.RotZ	rfoot.PosX	rfoot.PosY	rfoot.PosZ	rfoot.RotX	rfoot.RotY	rfoot.RotZ	rtoes.PosX	rtoes.PosY	rtoes.PosZ	rtoes.RotX	rtoes.RotY	rtoes.RotZ	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ	Channel1.Anlg	Channel2.Anlg	Channel3.Anlg	Channel4.Anlg	Channel5.Anlg	Channel6.Anlg	Channel7.Anlg	Channel8.Anlg	Channel9.Anlg	Channel10.Anlg	Channel11.Anlg	Channel12.Anlg	Channel13.Anlg	Channel14.Anlg	Channel15.Anlg	Channel16.Anlg
5331.098051	  535942	-0.018308	1.223963	0.139831	0.005570	1.153853	0.122426	-0.040706	1.075194	-0.197683	-0.029126	1.269719	-0.200884	-0.030517	1.376216	-0.197812	-0.205317	1.028461	-0.052777	0.122891	1.000558	-0.076792	-0.096905	1.131720	0.122154	0.085522	1.108901	0.114751	0.000000	0.000000	0.000000	-0.246971	0.766042	0.009287	-0.240242	0.529158	0.106594	-0.251225	0.407377	0.234209	-0.208236	0.140631	0.414002	-0.164446	0.110255	0.517718	-0.117216	0.033843	0.245427	-0.197099	0.037127	0.262451	0.140652	1.062764	-0.085533	0.188805	0.404635	-0.197886	0.229541	0.282907	-0.159543	0.199448	0.180041	-0.129170	0.238035	0.041498	-0.099632	0.161720	0.043455	-0.040168	0.150014	0.026753	-0.290388	0.234680	0.039022	-0.256291	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.144708	0.000000	0.281187	-79.418503	782.177490	-443.717957	-219.938065	-59.624203	-113.187553	0.169268	0.000000	-0.105957	-55.798458	549.846375	-75.880722	58.260120	2.809073	93.071548	0.300450	0.245201	1.066263	-0.177171	0.054064	-0.471929	0.273141	0.522234	0.309515	-0.003904	0.037059	0.079660	0.000000	0.000000	0.000000	0.000000
5331.108086	  535943	-0.013212	1.223724	0.139176	0.008905	1.152606	0.119978	-0.040080	1.075520	-0.200146	-0.027133	1.270087	-0.202141	-0.027449	1.376444	-0.199482	-0.204813	1.029203	-0.054990	0.123654	0.998923	-0.080257	-0.093745	1.131208	0.120179	0.087792	1.105812	0.110676	0.000000	0.000000	0.000000	-0.249557	0.767855	0.008317	-0.240385	0.530367	0.102261	-0.252574	0.408635	0.230354	-0.210325	0.145929	0.414248	-0.166144	0.120363	0.518736	-0.117280	0.034216	0.252345	-0.196934	0.037066	0.268652	0.141709	1.060994	-0.088643	0.190115	0.403363	-0.197154	0.231350	0.281798	-0.157680	0.200655	0.179684	-0.125206	0.238720	0.041292	-0.093568	0.162483	0.044324	-0.033753	0.150711	0.025916	-0.283678	0.236958	0.038417	-0.248974	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.153029	0.000000	0.307359	-71.540543	756.638733	-325.838959	-232.559525	-32.058704	-115.787834	0.179902	0.000000	-0.157124	-81.550468	582.019348	-95.438744	91.449043	16.474619	104.706474	0.318150	0.205223	1.029032	-0.126817	0.013171	-0.348332	0.217294	0.590594	0.356207	0.025698	0.031566	0.100107	0.000000	0.000000	0.000000	0.000000
5331.118104	  535944	-0.008945	1.222163	0.136921	0.012398	1.151883	0.117456	-0.039332	1.076015	-0.202815	-0.025033	1.270683	-0.203206	-0.024427	1.376767	-0.201038	-0.203727	1.030481	-0.056801	0.124324	0.997648	-0.083512	-0.090971	1.130900	0.118681	0.090806	1.104627	0.107357	0.000000	0.000000	0.000000	-0.250419	0.768250	0.002286	-0.240955	0.531313	0.096405	-0.254018	0.409850	0.225261	-0.213151	0.151454	0.412922	-0.168511	0.131542	0.518388	-0.117478	0.034288	0.258416	-0.197196	0.036844	0.274441	0.142915	1.059309	-0.092326	0.191086	0.402127	-0.195969	0.232319	0.281039	-0.155357	0.201986	0.179017	-0.121450	0.239204	0.041176	-0.087565	0.163102	0.045205	-0.027768	0.150908	0.025062	-0.277359	0.235739	0.036298	-0.243880	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.156534	0.000000	0.251746	-100.523460	670.098389	-390.708679	-168.694672	-44.162975	-104.893463	0.171633	0.000000	-0.110728	-108.090508	738.105591	-160.104996	81.729019	34.303658	126.683258	0.283360	0.229637	0.867288	-0.161912	0.016833	-0.413640	0.340585	0.711748	0.417852	0.053774	0.026683	0.165720	0.000000	0.000000	0.000000	0.000000
5331.127969	  535945	-0.003434	1.221734	0.134711	0.015619	1.151527	0.114632	-0.038495	1.076469	-0.205417	-0.022930	1.271469	-0.204098	-0.021093	1.377318	-0.203117	-0.202465	1.032020	-0.058768	0.124807	0.996276	-0.087224	-0.087963	1.130737	0.117183	0.093497	1.103783	0.104023	0.000000	0.000000	0.000000	-0.252473	0.769679	-0.003218	-0.242143	0.532567	0.089541	-0.255978	0.410740	0.218706	-0.216449	0.157598	0.410212	-0.170888	0.144186	0.515770	-0.117693	0.034761	0.264696	-0.197361	0.036633	0.280364	0.144040	1.057633	-0.096107	0.191736	0.401141	-0.194490	0.233419	0.280191	-0.152662	0.202963	0.178885	-0.117260	0.239552	0.041095	-0.081114	0.163754	0.046124	-0.021505	0.150644	0.024013	-0.271348	0.235831	0.034884	-0.237885	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.155740	0.000000	0.278047	-102.308052	555.832825	-256.321472	-154.547592	-47.710033	-86.565544	0.169230	0.000000	-0.142642	-119.236961	854.444397	-202.655807	121.879585	20.627184	144.597214	0.226598	0.179588	0.734537	-0.168931	0.024157	-0.269597	0.351572	0.871661	0.484075	0.018374	0.070018	0.206918	0.000000	0.000000	0.000000	0.000000
5331.138037	  535946	0.000935	1.220160	0.130784	0.019533	1.152264	0.113210	-0.037344	1.076867	-0.207903	-0.020871	1.272422	-0.205169	-0.017900	1.378150	-0.204758	-0.202883	1.034700	-0.061520	0.125172	0.995260	-0.090147	-0.085540	1.130601	0.115556	0.096662	1.103785	0.101551	0.000000	0.000000	0.000000	-0.252948	0.769984	-0.012804	-0.243288	0.533779	0.081355	-0.258481	0.411257	0.210605	-0.220271	0.164060	0.405223	-0.174458	0.158341	0.511207	-0.118040	0.034630	0.270334	-0.197645	0.036230	0.286111	0.145054	1.056211	-0.099187	0.193048	0.400261	-0.192176	0.234740	0.279759	-0.148839	0.204145	0.178628	-0.112403	0.240053	0.041076	-0.075487	0.164319	0.046845	-0.015257	0.150654	0.023373	-0.264990	0.236378	0.033939	-0.231696	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.148223	0.000000	0.270121	-67.659912	443.117493	-300.549103	-119.695419	-47.109673	-65.680305	0.165965	0.000000	-0.122926	-98.903030	912.057190	-238.729401	112.115776	15.500734	151.369659	0.172276	0.140221	0.603311	-0.138109	0.040332	-0.317815	0.412912	0.912554	0.498419	-0.006650	0.074901	0.242013	0.000000	0.000000	0.000000	0.000000
5331.147985	  535947	0.005442	1.220132	0.127095	0.021932	1.152170	0.110935	-0.036180	1.077425	-0.210102	-0.018854	1.273329	-0.207004	-0.014732	1.378624	-0.206801	-0.202062	1.037004	-0.063201	0.125671	0.994410	-0.092657	-0.082294	1.131560	0.115831	0.098606	1.103253	0.099352	0.000000	0.000000	0.000000	-0.255102	0.771637	-0.019898	-0.245175	0.534532	0.071420	-0.261229	0.411261	0.201094	-0.224269	0.170844	0.398707	-0.178737	0.173052	0.504448	-0.118742	0.034485	0.275567	-0.198519	0.035756	0.290799	0.145999	1.054850	-0.102109	0.194157	0.399311	-0.189249	0.236009	0.279459	-0.144506	0.205052	0.178639	-0.106725	0.240188	0.041165	-0.068842	0.164418	0.047329	-0.008603	0.151000	0.023044	-0.258159	0.236878	0.033119	-0.225070	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.139069	0.000000	0.314386	-65.878395	319.238647	-175.235062	-100.364197	-38.078846	-44.396111	0.175286	0.000000	-0.140671	-96.334366	974.230469	-204.434219	137.045883	17.701637	170.769302	0.106358	0.090782	0.459879	-0.120408	0.027819	-0.184148	0.399484	0.980608	0.570135	0.001589	0.058116	0.209970	0.000000	0.000000	0.000000	0.000000
5331.157955	  535948	0.008884	1.220826	0.123638	0.023842	1.152424	0.108594	-0.034751	1.077917	-0.211864	-0.016754	1.274013	-0.208876	-0.011662	1.378983	-0.208521	-0.199633	1.038668	-0.063634	0.126070	0.993920	-0.094188	-0.080099	1.132506	0.115457	0.099214	1.102157	0.097344	0.000000	0.000000	0.000000	-0.257414	0.773257	-0.027737	-0.248861	0.535534	0.061220	-0.264726	0.410894	0.190200	-0.228377	0.178242	0.389959	-0.183198	0.189143	0.496119	-0.119576	0.034506	0.280670	-0.199176	0.035107	0.295281	0.146866	1.053310	-0.104506	0.195329	0.398491	-0.185354	0.237014	0.278704	-0.139808	0.205375	0.178644	-0.099995	0.241679	0.042702	-0.061001	0.164984	0.047777	-0.002588	0.151203	0.022751	-0.251433	0.238277	0.033276	-0.217186	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.112888	0.000000	0.362767	-39.275692	234.482330	-126.092209	-85.062386	-17.619457	-26.470242	0.175972	0.000000	-0.120880	-121.559669	1056.902954	-198.077286	127.758354	23.015875	185.984985	0.054478	0.057518	0.370462	-0.064866	0.007678	-0.133794	0.468759	1.023943	0.622625	0.020510	0.059337	0.205087	0.000000	0.000000	0.000000	0.000000
5331.168080	  535949	0.012554	1.221811	0.119888	0.025463	1.152695	0.106230	-0.033488	1.078417	-0.213372	-0.014542	1.274530	-0.210931	-0.008671	1.379337	-0.210229	-0.198931	1.041147	-0.065293	0.126500	0.993400	-0.095568	-0.078875	1.132728	0.114605	0.099828	1.101559	0.096235	0.000000	0.000000	0.000000	-0.259739	0.774854	-0.036111	-0.253978	0.536948	0.050111	-0.267608	0.411457	0.177797	-0.231716	0.186335	0.380489	-0.187931	0.205565	0.485925	-0.120582	0.034636	0.284228	-0.200577	0.034043	0.298383	0.147712	1.051777	-0.106640	0.196884	0.397570	-0.182167	0.237806	0.278320	-0.134101	0.206170	0.178651	-0.094541	0.239374	0.039451	-0.057090	0.164950	0.048258	0.003961	0.151881	0.022595	-0.243768	0.238475	0.032788	-0.210020	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.139669	0.000000	0.203716	-69.936737	194.767105	-54.113079	-39.677181	2.629226	-27.203014	0.172166	0.000000	-0.133885	-128.866547	1100.462280	-203.055374	147.335098	21.616339	189.461823	0.055699	0.099938	0.240457	-0.050523	-0.042066	-0.055059	0.474863	1.095965	0.632696	0.017764	0.068187	0.210275	0.000000	0.000000	0.000000	0.000000
5331.178072	  535950	0.015585	1.223480	0.116554	0.026167	1.152242	0.105052	-0.032274	1.079191	-0.214490	-0.012683	1.274875	-0.213016	-0.006005	1.379247	-0.211930	-0.198325	1.043651	-0.066216	0.126018	0.992253	-0.098069	-0.077660	1.132793	0.113946	0.100979	1.101281	0.095272	0.000000	0.000000	0.000000	-0.262753	0.777147	-0.041953	-0.258500	0.538279	0.037106	-0.271541	0.412969	0.164603	-0.234867	0.195075	0.369524	-0.193037	0.222394	0.473330	-0.121837	0.034197	0.288071	-0.201589	0.034096	0.300931	0.148622	1.050457	-0.108137	0.198280	0.396945	-0.177605	0.239158	0.278142	-0.128736	0.207069	0.178540	-0.088778	0.239461	0.039349	-0.050085	0.165214	0.048690	0.011013	0.152388	0.022664	-0.235588	0.238368	0.032166	-0.203885	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.196078	0.000000	0.191219	-36.371140	166.550415	8.992076	-31.847633	-7.139422	-32.656944	0.181182	0.000000	-0.132638	-112.844360	1156.625244	-188.741806	153.412827	20.375257	209.559265	0.092320	0.078575	0.165384	-0.043504	-0.006360	0.011165	0.482797	1.129534	0.705633	0.011355	0.053844	0.197153	0.000000	0.000000	0.000000	0.000000
5331.188162	  535951	0.018162	1.225338	0.112997	0.026166	1.151009	0.103309	-0.030766	1.079887	-0.215100	-0.011339	1.274843	-0.214999	-0.003701	1.379010	-0.213680	-0.197819	1.046248	-0.067514	0.126951	0.992143	-0.097425	-0.076859	1.132841	0.113535	0.100589	1.100081	0.094912	0.000000	0.000000	0.000000	-0.263707	0.779635	-0.050150	-0.262216	0.539484	0.022187	-0.275623	0.415206	0.149076	-0.237337	0.204443	0.356544	-0.196729	0.240336	0.459119	-0.122504	0.034268	0.290082	-0.202370	0.034988	0.301901	0.149773	1.049638	-0.108524	0.200505	0.396369	-0.172641	0.240843	0.277548	-0.122648	0.207862	0.178433	-0.082092	0.242137	0.042708	-0.040860	0.165330	0.049422	0.017529	0.152574	0.022527	-0.228519	0.238617	0.031840	-0.196720	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.196810	0.000000	0.066997	-3.135477	115.736511	-0.191767	-7.754013	-12.277611	-22.778122	0.178694	0.000000	-0.121003	-126.705498	1160.104248	-196.696655	140.375565	17.669796	207.303177	0.069127	0.076134	0.089701	-0.026109	0.019885	0.000483	0.511178	1.115191	0.698919	0.009524	0.069713	0.204477	0.000000	0.000000	0.000000	0.000000
5331.198149	  535952	0.021244	1.228205	0.110481	0.026750	1.150640	0.102425	-0.029625	1.080789	-0.215498	-0.010250	1.274730	-0.216610	-0.001682	1.378612	-0.215132	-0.197433	1.048864	-0.068339	0.127094	0.991450	-0.097871	-0.076016	1.132890	0.113235	0.100946	1.099520	0.094937	0.000000	0.000000	0.000000	-0.263720	0.782496	-0.056603	-0.266168	0.540600	0.004557	-0.279192	0.418334	0.131742	-0.239302	0.214294	0.343358	-0.200159	0.257741	0.442543	-0.123086	0.034306	0.290743	-0.203299	0.035908	0.301519	0.150606	1.048913	-0.107916	0.202598	0.395784	-0.167428	0.242297	0.277098	-0.116775	0.208175	0.178769	-0.076644	0.241227	0.041419	-0.034319	0.165796	0.049470	0.024741	0.152671	0.022361	-0.221698	0.238913	0.031553	-0.189483	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.139746	0.000000	0.098917	-2.035757	56.590981	51.121651	-5.597789	1.908076	-7.908348	0.179631	0.000000	-0.127770	-144.706970	1163.520386	-152.133148	148.663361	14.472245	209.004196	0.018162	0.047142	0.046366	-0.000780	-0.003003	0.054500	0.502634	1.120379	0.712042	0.018069	0.075817	0.161142	0.000000	0.000000	0.000000	0.000000
5331.207947	  535953	0.023665	1.231275	0.107796	0.027574	1.150341	0.102182	-0.028764	1.081798	-0.215561	-0.009497	1.274427	-0.217622	-0.000054	1.378089	-0.216365	-0.196816	1.051306	-0.069077	0.127108	0.990778	-0.098293	-0.075176	1.132929	0.113024	0.101302	1.098694	0.095124	0.000000	0.000000	0.000000	-0.263889	0.786172	-0.062644	-0.270726	0.542525	-0.012753	-0.282046	0.421297	0.113026	-0.240525	0.224757	0.329826	-0.202798	0.275154	0.423959	-0.123716	0.034617	0.290683	-0.205268	0.036835	0.298414	0.151391	1.047018	-0.109633	0.204925	0.395259	-0.162164	0.243555	0.276807	-0.110526	0.209026	0.177717	-0.069450	0.241653	0.041437	-0.027645	0.166519	0.051109	0.031449	0.152841	0.022215	-0.214533	0.238893	0.031199	-0.182932	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.547460	0.000000	0.245444	14.039867	10.917387	2.855130	-2.679607	-1.210651	5.976830	0.183782	0.000000	-0.099771	-173.454941	1164.744629	-97.898582	116.207657	25.605911	214.059616	-0.025478	0.017845	0.030191	0.007460	0.009814	0.002315	0.551767	1.050799	0.733404	0.061709	0.056285	0.109567	0.000000	0.000000	0.000000	0.000000
